order_id,product_id,user_id,order_date,return_date,product_category,product_price,order_quantity,return_reason,return_status,days_to_return,user_age,user_gender,user_location,payment_method,shipping_method,discount_applied
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,City68,Credit Card,Express,10.99
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53
ORD00000053,PROD00000053,USER00000053,2024-03-12,2023-05-21,Clothing,359.9,3,Defective,Returned,-296.0,55,Female,City23,Debit Card,Standard,3.01
ORD00000055,PROD00000055,USER00000055,2023-04-30,2023-04-11,Home,352.93,4,Changed mind,Returned,-19.0,34,Male,City31,Gift Card,Express,22.83
ORD00000057,PROD00000057,USER00000057,2024-09-22,2023-09-10,Books,301.68,2,Changed mind,Returned,-378.0,47,Male,City16,PayPal,Standard,30.59
ORD00000060,PROD00000060,USER00000060,2024-10-26,2024-02-24,Books,389.83,4,Wrong item,Returned,-245.0,40,Female,City44,Gift Card,Express,12.23
ORD00000064,PROD00000064,USER00000064,2024-07-06,2023-03-17,Books,429.41,3,Wrong item,Returned,-477.0,53,Male,City44,Debit Card,Next-Day,13.22
ORD00000065,PROD00000065,USER00000065,2023-06-03,2023-09-22,Toys,280.61,2,Defective,Returned,111.0,32,Male,City92,Debit Card,Express,2.34
ORD00000067,PROD00000067,USER00000067,2023-11-07,2023-05-30,Toys,227.79,3,Not as described,Returned,-161.0,70,Female,City31,Gift Card,Next-Day,27.11
ORD00000068,PROD00000068,USER00000068,2023-11-13,2024-06-16,Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27
ORD00000070,PROD00000070,USER00000070,2024-05-24,2023-06-21,Toys,87.17,4,Defective,Returned,-338.0,46,Female,City50,Gift Card,Express,32.02
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,Clothing,429.47,5,Defective,Returned,-190.0,39,Male,City10,Gift Card,Standard,44.36
ORD00000082,PROD00000082,USER00000082,2023-03-17,2023-08-31,Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94
ORD00000091,PROD00000091,USER00000091,2024-12-25,2024-08-11,Toys,99.21,1,Not as described,Returned,-136.0,29,Female,City17,PayPal,Next-Day,30.21
ORD00000092,PROD00000092,USER00000092,2023-10-02,2024-02-27,Home,394.71,4,Changed mind,Returned,148.0,66,Female,City25,Gift Card,Next-Day,16.01
ORD00000093,PROD00000093,USER00000093,2023-07-29,2024-07-01,Home,230.9,2,Defective,Returned,338.0,69,Male,City10,Credit Card,Next-Day,26.62
ORD00000096,PROD00000096,USER00000096,2023-06-18,2023-11-08,Toys,496.31,4,Defective,Returned,143.0,53,Male,City88,Gift Card,Next-Day,10.15
ORD00000097,PROD00000097,USER00000097,2024-12-08,2024-04-15,Toys,104.39,2,Defective,Returned,-237.0,58,Female,City46,Credit Card,Standard,28.68
ORD00000099,PROD00000099,USER00000099,2023-12-07,2024-12-30,Books,46.61,1,Wrong item,Returned,389.0,42,Male,City12,Credit Card,Next-Day,8.9
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73
ORD00000104,PROD00000104,USER00000104,2023-04-10,2023-10-24,Home,35.16,3,Defective,Returned,197.0,48,Female,City27,PayPal,Next-Day,3.9
ORD00000106,PROD00000106,USER00000106,2023-09-03,2023-04-04,Books,448.84,2,Changed mind,Returned,-152.0,60,Male,City20,Gift Card,Express,26.3
ORD00000111,PROD00000111,USER00000111,2024-08-03,2023-09-01,Home,315.11,5,Defective,Returned,-337.0,50,Female,City71,PayPal,Express,37.68
ORD00000112,PROD00000112,USER00000112,2024-05-12,2023-04-06,Clothing,259.57,2,Not as described,Returned,-402.0,55,Female,City90,Credit Card,Next-Day,40.28
ORD00000115,PROD00000115,USER00000115,2024-06-07,2023-06-01,Toys,197.66,4,Not as described,Returned,-372.0,59,Female,City9,Credit Card,Next-Day,42.31
ORD00000116,PROD00000116,USER00000116,2023-09-26,2024-07-15,Books,79.9,4,Defective,Returned,293.0,42,Female,City73,PayPal,Express,22.19
ORD00000117,PROD00000117,USER00000117,2024-02-04,2024-09-17,Electronics,265.23,4,Changed mind,Returned,226.0,57,Male,City89,Credit Card,Next-Day,49.85
ORD00000118,PROD00000118,USER00000118,2023-12-04,2023-07-01,Books,91.84,2,Not as described,Returned,-156.0,56,Female,City7,Credit Card,Next-Day,31.58
ORD00000120,PROD00000120,USER00000120,2024-08-08,2024-10-13,Books,245.44,5,Changed mind,Returned,66.0,29,Female,City34,PayPal,Standard,25.44
ORD00000123,PROD00000123,USER00000123,2024-07-04,2023-11-02,Electronics,490.8,2,Changed mind,Returned,-245.0,37,Female,City23,Credit Card,Express,43.37
ORD00000131,PROD00000131,USER00000131,2024-05-24,2023-10-10,Books,219.29,2,Changed mind,Returned,-227.0,56,Male,City6,Credit Card,Express,32.59
ORD00000132,PROD00000132,USER00000132,2023-02-15,2024-09-03,Electronics,174.94,1,Defective,Returned,566.0,62,Female,City48,PayPal,Next-Day,22.43
ORD00000134,PROD00000134,USER00000134,2023-01-25,2023-01-05,Books,18.83,1,Wrong item,Returned,-20.0,27,Male,City26,Gift Card,Standard,1.57
ORD00000135,PROD00000135,USER00000135,2024-05-31,2023-07-16,Electronics,291.09,4,Changed mind,Returned,-320.0,19,Female,City14,Debit Card,Express,8.37
ORD00000136,PROD00000136,USER00000136,2023-01-23,2023-06-11,Toys,386.51,1,Wrong item,Returned,139.0,27,Male,City50,Credit Card,Standard,10.19
ORD00000137,PROD00000137,USER00000137,2024-07-17,2024-01-13,Electronics,285.21,4,Not as described,Returned,-186.0,32,Male,City44,Debit Card,Next-Day,40.21
ORD00000139,PROD00000139,USER00000139,2024-04-09,2023-10-13,Books,16.55,4,Changed mind,Returned,-179.0,21,Female,City32,Credit Card,Express,22.61
ORD00000140,PROD00000140,USER00000140,2024-10-09,2023-10-15,Home,161.94,5,Changed mind,Returned,-360.0,68,Female,City61,Gift Card,Standard,35.96
ORD00000141,PROD00000141,USER00000141,2023-07-29,2024-05-13,Clothing,173.42,1,Wrong item,Returned,289.0,33,Female,City34,Gift Card,Express,26.04
ORD00000144,PROD00000144,USER00000144,2024-08-03,2024-05-16,Toys,288.71,3,Defective,Returned,-79.0,60,Male,City57,Credit Card,Express,42.11
ORD00000150,PROD00000150,USER00000150,2024-09-01,2023-02-23,Books,402.79,2,Wrong item,Returned,-556.0,23,Female,City37,PayPal,Next-Day,2.22
ORD00000153,PROD00000153,USER00000153,2024-10-20,2023-02-06,Clothing,444.83,1,Defective,Returned,-622.0,20,Female,City2,PayPal,Express,26.84
ORD00000155,PROD00000155,USER00000155,2024-06-27,2023-01-29,Books,332.49,4,Changed mind,Returned,-515.0,66,Female,City43,Credit Card,Express,34.21
ORD00000159,PROD00000159,USER00000159,2023-09-15,2024-08-25,Clothing,217.79,4,Defective,Returned,345.0,40,Male,City62,PayPal,Express,34.27
ORD00000160,PROD00000160,USER00000160,2023-11-04,2024-09-28,Clothing,434.66,2,Not as described,Returned,329.0,19,Female,City81,Debit Card,Standard,49.39
ORD00000162,PROD00000162,USER00000162,2024-07-06,2023-03-18,Toys,231.11,5,Changed mind,Returned,-476.0,40,Female,City6,Credit Card,Next-Day,21.38
ORD00000163,PROD00000163,USER00000163,2023-04-27,2024-09-14,Toys,291.43,4,Defective,Returned,506.0,22,Male,City73,PayPal,Express,8.13
ORD00000164,PROD00000164,USER00000164,2024-06-02,2024-10-02,Electronics,128.65,1,Changed mind,Returned,122.0,37,Female,City62,Debit Card,Next-Day,1.9
ORD00000165,PROD00000165,USER00000165,2023-10-01,2024-08-01,Books,396.48,5,Wrong item,Returned,305.0,69,Male,City36,Debit Card,Express,39.19
ORD00000167,PROD00000167,USER00000167,2024-11-16,2023-11-30,Books,324.85,5,Defective,Returned,-352.0,51,Female,City66,Debit Card,Express,20.53
ORD00000169,PROD00000169,USER00000169,2024-03-19,2023-06-06,Books,458.16,5,Defective,Returned,-287.0,24,Female,City58,PayPal,Express,5.2
ORD00000170,PROD00000170,USER00000170,2023-12-01,2024-05-09,Clothing,118.2,5,Changed mind,Returned,160.0,32,Male,City93,Gift Card,Standard,43.34
ORD00000171,PROD00000171,USER00000171,2023-12-17,2024-07-02,Home,138.23,2,Wrong item,Returned,198.0,28,Female,City95,PayPal,Express,42.31
ORD00000172,PROD00000172,USER00000172,2024-08-26,2024-11-14,Toys,47.05,3,Not as described,Returned,80.0,43,Female,City29,Gift Card,Express,45.62
ORD00000173,PROD00000173,USER00000173,2023-06-05,2024-09-28,Toys,9.03,5,Not as described,Returned,481.0,39,Male,City35,Credit Card,Standard,37.1
ORD00000175,PROD00000175,USER00000175,2024-09-10,2024-01-24,Clothing,381.39,1,Changed mind,Returned,-230.0,24,Female,City75,Debit Card,Next-Day,45.86
ORD00000179,PROD00000179,USER00000179,2024-01-12,2023-01-04,Electronics,80.81,5,Not as described,Returned,-373.0,61,Male,City23,Gift Card,Standard,30.75
ORD00000181,PROD00000181,USER00000181,2024-09-22,2023-10-05,Electronics,244.32,5,Not as described,Returned,-353.0,56,Female,City40,PayPal,Standard,27.21
ORD00000182,PROD00000182,USER00000182,2023-10-31,2024-09-25,Clothing,69.89,4,Wrong item,Returned,330.0,41,Male,City27,Credit Card,Express,32.4
ORD00000183,PROD00000183,USER00000183,2023-03-31,2023-10-26,Toys,340.06,3,Not as described,Returned,209.0,56,Female,City92,Credit Card,Next-Day,27.27
ORD00000184,PROD00000184,USER00000184,2023-11-17,2023-06-17,Toys,191.81,4,Changed mind,Returned,-153.0,34,Female,City79,Debit Card,Express,7.94
ORD00000186,PROD00000186,USER00000186,2024-05-31,2023-04-26,Clothing,360.81,3,Wrong item,Returned,-401.0,61,Male,City10,PayPal,Next-Day,49.0
ORD00000187,PROD00000187,USER00000187,2024-09-10,2024-03-09,Home,142.79,1,Not as described,Returned,-185.0,56,Male,City6,PayPal,Next-Day,19.22
ORD00000188,PROD00000188,USER00000188,2023-07-26,2024-03-24,Clothing,356.89,2,Defective,Returned,242.0,36,Female,City33,Debit Card,Standard,32.57
ORD00000191,PROD00000191,USER00000191,2023-12-08,2023-04-02,Toys,323.29,1,Not as described,Returned,-250.0,55,Male,City61,Gift Card,Express,40.46
ORD00000194,PROD00000194,USER00000194,2024-01-08,2023-05-10,Clothing,136.22,2,Wrong item,Returned,-243.0,20,Female,City4,Credit Card,Express,25.96
ORD00000196,PROD00000196,USER00000196,2024-04-10,2023-05-26,Electronics,6.5,5,Wrong item,Returned,-320.0,51,Male,City74,Credit Card,Express,23.83
ORD00000204,PROD00000204,USER00000204,2023-04-25,2024-06-19,Clothing,362.81,5,Not as described,Returned,421.0,37,Male,City12,Gift Card,Express,21.11
ORD00000209,PROD00000209,USER00000209,2024-07-20,2023-10-22,Electronics,358.69,5,Wrong item,Returned,-272.0,68,Female,City37,Gift Card,Standard,49.22
ORD00000211,PROD00000211,USER00000211,2023-12-11,2023-02-11,Books,198.21,2,Not as described,Returned,-303.0,67,Female,City59,Debit Card,Next-Day,47.3
ORD00000212,PROD00000212,USER00000212,2024-10-13,2023-10-25,Toys,54.72,5,Not as described,Returned,-354.0,69,Male,City2,Debit Card,Next-Day,7.16
ORD00000213,PROD00000213,USER00000213,2023-11-07,2024-05-19,Electronics,488.4,3,Not as described,Returned,194.0,51,Female,City90,Debit Card,Standard,19.88
ORD00000214,PROD00000214,USER00000214,2023-07-25,2024-02-14,Books,270.92,1,Defective,Returned,204.0,36,Female,City27,PayPal,Standard,19.62
ORD00000219,PROD00000219,USER00000219,2024-12-14,2024-03-28,Clothing,393.44,3,Not as described,Returned,-261.0,52,Male,City7,Gift Card,Standard,33.6
ORD00000220,PROD00000220,USER00000220,2023-11-09,2023-11-22,Clothing,128.35,3,Not as described,Returned,13.0,37,Male,City64,Gift Card,Standard,15.47
ORD00000221,PROD00000221,USER00000221,2023-04-19,2023-12-03,Toys,144.86,4,Changed mind,Returned,228.0,64,Male,City22,Debit Card,Next-Day,7.51
ORD00000223,PROD00000223,USER00000223,2023-06-09,2024-05-29,Clothing,409.65,2,Not as described,Returned,355.0,64,Male,City23,Credit Card,Express,43.1
ORD00000224,PROD00000224,USER00000224,2023-03-31,2023-04-13,Home,170.03,3,Defective,Returned,13.0,21,Male,City74,PayPal,Standard,23.19
ORD00000227,PROD00000227,USER00000227,2023-09-25,2024-02-09,Books,277.15,1,Wrong item,Returned,137.0,67,Male,City93,Credit Card,Next-Day,46.01
ORD00000229,PROD00000229,USER00000229,2023-06-06,2024-02-14,Home,427.99,2,Defective,Returned,253.0,62,Male,City35,Debit Card,Next-Day,15.63
ORD00000230,PROD00000230,USER00000230,2023-05-12,2024-06-08,Home,130.63,1,Defective,Returned,393.0,40,Female,City53,Gift Card,Next-Day,12.37
ORD00000232,PROD00000232,USER00000232,2024-09-07,2024-06-25,Home,345.5,5,Defective,Returned,-74.0,56,Male,City58,Gift Card,Standard,23.75
ORD00000236,PROD00000236,USER00000236,2023-10-25,2023-07-21,Home,329.59,4,Changed mind,Returned,-96.0,41,Male,City22,PayPal,Standard,8.74
ORD00000237,PROD00000237,USER00000237,2023-12-10,2024-02-12,Home,359.73,5,Wrong item,Returned,64.0,50,Female,City84,PayPal,Standard,11.7
ORD00000238,PROD00000238,USER00000238,2024-06-17,2024-08-22,Toys,378.25,5,Changed mind,Returned,66.0,27,Male,City73,Debit Card,Standard,23.41
ORD00000241,PROD00000241,USER00000241,2023-03-11,2024-04-30,Clothing,151.4,1,Changed mind,Returned,416.0,24,Male,City14,Debit Card,Express,39.16
ORD00000242,PROD00000242,USER00000242,2024-02-22,2023-03-10,Clothing,89.8,5,Wrong item,Returned,-349.0,43,Female,City28,PayPal,Standard,7.86
ORD00000243,PROD00000243,USER00000243,2024-01-26,2023-02-05,Clothing,246.71,3,Not as described,Returned,-355.0,18,Male,City47,Gift Card,Standard,1.18
ORD00000244,PROD00000244,USER00000244,2024-08-13,2023-06-14,Toys,150.75,2,Changed mind,Returned,-426.0,24,Female,City29,Debit Card,Express,25.88
ORD00000247,PROD00000247,USER00000247,2024-08-09,2024-09-04,Toys,331.08,3,Defective,Returned,26.0,65,Male,City58,Gift Card,Next-Day,33.08
ORD00000248,PROD00000248,USER00000248,2023-06-19,2024-09-05,Books,27.39,3,Changed mind,Returned,444.0,56,Female,City99,Debit Card,Express,42.79
ORD00000249,PROD00000249,USER00000249,2023-02-25,2024-12-24,Home,341.03,4,Defective,Returned,668.0,69,Female,City62,Gift Card,Express,2.42
ORD00000250,PROD00000250,USER00000250,2023-02-06,2024-12-02,Toys,299.98,4,Changed mind,Returned,665.0,43,Female,City8,Credit Card,Next-Day,35.3
ORD00000252,PROD00000252,USER00000252,2024-01-03,2024-04-26,Home,80.88,3,Not as described,Returned,114.0,35,Female,City46,PayPal,Next-Day,46.78
ORD00000253,PROD00000253,USER00000253,2024-04-24,2023-08-24,Home,450.4,5,Changed mind,Returned,-244.0,42,Female,City25,Gift Card,Express,30.89
ORD00000254,PROD00000254,USER00000254,2024-12-09,2024-09-06,Toys,382.22,5,Changed mind,Returned,-94.0,51,Male,City1,Debit Card,Express,26.81
ORD00000255,PROD00000255,USER00000255,2023-10-28,2023-10-21,Books,485.32,4,Wrong item,Returned,-7.0,60,Female,City23,Credit Card,Express,6.08
ORD00000260,PROD00000260,USER00000260,2023-01-29,2024-03-22,Home,395.28,4,Defective,Returned,418.0,47,Male,City29,Credit Card,Express,6.27
ORD00000261,PROD00000261,USER00000261,2024-10-21,2023-09-04,Clothing,409.57,2,Defective,Returned,-413.0,36,Male,City97,Debit Card,Standard,29.37
ORD00000262,PROD00000262,USER00000262,2023-05-13,2024-11-01,Clothing,48.49,2,Wrong item,Returned,538.0,27,Male,City77,Credit Card,Standard,48.7
ORD00000263,PROD00000263,USER00000263,2023-03-25,2024-04-11,Books,365.3,4,Defective,Returned,383.0,70,Male,City60,Debit Card,Standard,25.2
ORD00000266,PROD00000266,USER00000266,2023-05-09,2024-02-15,Toys,333.67,5,Wrong item,Returned,282.0,61,Female,City19,PayPal,Express,40.16
ORD00000267,PROD00000267,USER00000267,2024-07-19,2023-09-28,Books,104.54,1,Changed mind,Returned,-295.0,33,Female,City23,Gift Card,Next-Day,10.73
ORD00000269,PROD00000269,USER00000269,2024-09-19,2024-04-28,Clothing,385.95,4,Not as described,Returned,-144.0,58,Male,City8,Debit Card,Standard,12.61
ORD00000270,PROD00000270,USER00000270,2023-12-21,2023-10-20,Clothing,354.81,3,Defective,Returned,-62.0,64,Male,City24,Gift Card,Next-Day,29.05
ORD00000271,PROD00000271,USER00000271,2024-09-25,2024-03-26,Clothing,282.89,1,Defective,Returned,-183.0,21,Female,City85,Debit Card,Standard,47.82
ORD00000272,PROD00000272,USER00000272,2024-06-02,2023-12-29,Books,394.63,3,Not as described,Returned,-156.0,26,Female,City71,PayPal,Standard,1.41
ORD00000274,PROD00000274,USER00000274,2024-01-19,2024-11-02,Electronics,392.03,5,Defective,Returned,288.0,21,Male,City29,Debit Card,Standard,2.16
ORD00000277,PROD00000277,USER00000277,2023-07-31,2024-01-26,Books,182.75,5,Not as described,Returned,179.0,70,Male,City59,PayPal,Next-Day,18.41
ORD00000278,PROD00000278,USER00000278,2023-06-06,2024-05-09,Books,161.86,3,Defective,Returned,338.0,39,Male,City12,Credit Card,Next-Day,26.28
ORD00000279,PROD00000279,USER00000279,2024-06-07,2023-07-08,Home,418.05,5,Defective,Returned,-335.0,33,Female,City9,Gift Card,Standard,48.85
ORD00000281,PROD00000281,USER00000281,2023-12-08,2023-07-11,Clothing,12.83,4,Defective,Returned,-150.0,40,Female,City69,Credit Card,Express,15.24
ORD00000282,PROD00000282,USER00000282,2024-11-25,2024-09-20,Home,296.09,1,Wrong item,Returned,-66.0,54,Male,City84,Debit Card,Express,13.5
ORD00000283,PROD00000283,USER00000283,2024-07-26,2023-07-03,Electronics,411.49,2,Wrong item,Returned,-389.0,49,Male,City39,Gift Card,Standard,21.99
ORD00000284,PROD00000284,USER00000284,2024-11-02,2023-06-01,Clothing,389.91,2,Wrong item,Returned,-520.0,44,Male,City24,PayPal,Express,35.5
ORD00000285,PROD00000285,USER00000285,2024-12-26,2023-09-01,Clothing,119.65,3,Wrong item,Returned,-482.0,40,Male,City62,Gift Card,Next-Day,19.25
ORD00000288,PROD00000288,USER00000288,2023-02-09,2024-01-03,Books,338.15,5,Wrong item,Returned,328.0,29,Female,City99,PayPal,Next-Day,1.29
ORD00000289,PROD00000289,USER00000289,2024-04-16,2024-03-12,Home,433.58,5,Not as described,Returned,-35.0,30,Male,City76,Gift Card,Next-Day,17.84
ORD00000291,PROD00000291,USER00000291,2024-05-04,2023-01-07,Clothing,181.12,5,Changed mind,Returned,-483.0,59,Male,City74,Credit Card,Standard,31.29
ORD00000293,PROD00000293,USER00000293,2024-09-30,2024-05-23,Electronics,494.96,2,Changed mind,Returned,-130.0,50,Female,City58,Gift Card,Standard,0.54
ORD00000294,PROD00000294,USER00000294,2023-05-31,2023-05-20,Electronics,418.25,2,Not as described,Returned,-11.0,22,Male,City55,PayPal,Standard,11.96
ORD00000295,PROD00000295,USER00000295,2023-03-16,2023-05-09,Clothing,477.66,3,Defective,Returned,54.0,67,Male,City2,PayPal,Next-Day,29.89
ORD00000298,PROD00000298,USER00000298,2023-02-22,2024-08-16,Toys,43.12,1,Defective,Returned,541.0,63,Male,City5,Credit Card,Standard,18.5
ORD00000301,PROD00000301,USER00000301,2023-10-18,2024-02-12,Home,404.99,3,Not as described,Returned,117.0,43,Male,City8,Debit Card,Standard,16.97
ORD00000302,PROD00000302,USER00000302,2023-09-08,2023-05-10,Clothing,139.65,3,Wrong item,Returned,-121.0,55,Female,City68,Credit Card,Next-Day,39.08
ORD00000304,PROD00000304,USER00000304,2023-07-27,2023-04-25,Clothing,456.02,3,Changed mind,Returned,-93.0,59,Female,City35,Gift Card,Express,28.93
ORD00000307,PROD00000307,USER00000307,2023-12-14,2023-12-21,Books,423.45,2,Changed mind,Returned,7.0,29,Female,City75,PayPal,Standard,37.12
ORD00000310,PROD00000310,USER00000310,2023-01-16,2023-05-26,Clothing,365.89,5,Not as described,Returned,130.0,27,Male,City43,Credit Card,Standard,26.27
ORD00000313,PROD00000313,USER00000313,2024-09-27,2024-08-14,Clothing,341.18,4,Wrong item,Returned,-44.0,45,Female,City49,Debit Card,Express,6.37
ORD00000314,PROD00000314,USER00000314,2023-10-13,2024-05-26,Electronics,192.67,2,Wrong item,Returned,226.0,53,Female,City4,Gift Card,Next-Day,37.32
ORD00000315,PROD00000315,USER00000315,2024-09-16,2023-05-31,Clothing,191.95,2,Changed mind,Returned,-474.0,41,Female,City77,Gift Card,Standard,42.02
ORD00000318,PROD00000318,USER00000318,2024-10-28,2024-01-11,Electronics,160.79,3,Defective,Returned,-291.0,46,Female,City99,Gift Card,Express,47.81
ORD00000319,PROD00000319,USER00000319,2023-11-10,2023-07-27,Books,171.71,1,Wrong item,Returned,-106.0,69,Female,City99,Debit Card,Next-Day,11.17
ORD00000320,PROD00000320,USER00000320,2024-04-29,2023-05-04,Books,237.12,3,Changed mind,Returned,-361.0,67,Male,City97,Gift Card,Standard,8.32
ORD00000335,PROD00000335,USER00000335,2023-03-16,2024-09-06,Clothing,45.39,5,Defective,Returned,540.0,45,Male,City99,Gift Card,Express,7.2
ORD00000336,PROD00000336,USER00000336,2023-10-16,2023-04-17,Books,388.93,4,Defective,Returned,-182.0,47,Male,City41,PayPal,Standard,38.72
ORD00000341,PROD00000341,USER00000341,2023-05-20,2024-03-14,Books,392.99,1,Changed mind,Returned,299.0,23,Male,City32,PayPal,Next-Day,35.48
ORD00000342,PROD00000342,USER00000342,2024-07-26,2023-10-14,Clothing,245.04,5,Defective,Returned,-286.0,70,Female,City98,PayPal,Standard,7.51
ORD00000343,PROD00000343,USER00000343,2023-03-24,2024-05-23,Electronics,204.18,5,Changed mind,Returned,426.0,61,Female,City51,PayPal,Standard,14.43
ORD00000346,PROD00000346,USER00000346,2023-05-04,2024-08-12,Toys,198.8,4,Wrong item,Returned,466.0,46,Male,City40,Debit Card,Next-Day,44.12
ORD00000349,PROD00000349,USER00000349,2023-10-14,2023-12-22,Home,249.94,5,Wrong item,Returned,69.0,49,Female,City66,Gift Card,Standard,4.54
ORD00000350,PROD00000350,USER00000350,2024-09-21,2024-01-24,Clothing,350.28,2,Not as described,Returned,-241.0,53,Female,City86,Credit Card,Standard,0.38
ORD00000353,PROD00000353,USER00000353,2024-05-08,2024-06-04,Home,448.77,2,Changed mind,Returned,27.0,68,Female,City79,Credit Card,Express,43.67
ORD00000356,PROD00000356,USER00000356,2024-04-26,2023-12-03,Home,74.01,2,Wrong item,Returned,-145.0,30,Female,City20,Debit Card,Next-Day,11.26
